Data,%,Ocupadas
24-04-2014,98.44,63
25-04-2014,90.63,58
26-04-2014,71.88,46
27-04-2014,15.63,10
28-04-2014,68.75,44
29-04-2014,65.63,42
30-04-2014,29.69,19
01-05-2014,34.38,22
02-05-2014,60.94,39
03-05-2014,71.88,46
04-05-2014,6.25,4
05-05-2014,68.75,44
06-05-2014,64.06,41
07-05-2014,84.38,54
08-05-2014,87.50,56
09-05-2014,28.13,18
10-05-2014,18.75,12
11-05-2014,6.25,4
12-05-2014,76.56,49
13-05-2014,100.00,64
14-05-2014,95.31,61
15-05-2014,90.63,58
16-05-2014,37.50,24
17-05-2014,35.94,23
18-05-2014,1.56,1
19-05-2014,51.56,33
20-05-2014,84.38,54
21-05-2014,100.00,64
22-05-2014,67.19,43
23-05-2014,31.25,20
24-05-2014,39.06,25
25-05-2014,6.25,4
26-05-2014,62.50,40
27-05-2014,100.00,64
28-05-2014,100.00,64
29-05-2014,78.13,50
30-05-2014,18.75,12
31-05-2014,57.81,37
01-06-2014,14.06,9
02-06-2014,50.00,32
03-06-2014,79.69,51
04-06-2014,70.31,45
05-06-2014,78.13,50
06-06-2014,37.50,24
07-06-2014,21.88,14
08-06-2014,43.75,28
09-06-2014,59.38,38
10-06-2014,28.13,18
11-06-2014,29.69,19
12-06-2014,37.50,24
13-06-2014,40.63,26
14-06-2014,9.38,6
15-06-2014,14.06,9
16-06-2014,51.56,33
17-06-2014,42.19,27
18-06-2014,46.88,30
19-06-2014,34.38,22
20-06-2014,18.75,12
21-06-2014,20.31,13
22-06-2014,18.75,12
23-06-2014,29.69,19
24-06-2014,93.75,60
25-06-2014,67.19,43
26-06-2014,73.44,47
27-06-2014,18.75,12
28-06-2014,23.44,15
29-06-2014,12.50,8
30-06-2014,42.19,27
01-07-2014,59.38,38
02-07-2014,62.50,40
03-07-2014,32.81,21
04-07-2014,21.88,14
05-07-2014,17.19,11
06-07-2014,7.81,5
07-07-2014,42.19,27
08-07-2014,43.75,28
09-07-2014,79.69,51
10-07-2014,71.88,46
11-07-2014,20.31,13
12-07-2014,23.44,15
13-07-2014,10.94,7
14-07-2014,56.25,36
15-07-2014,76.56,49
16-07-2014,85.94,55
17-07-2014,67.19,43
18-07-2014,29.69,19
19-07-2014,60.94,39
20-07-2014,12.50,8
21-07-2014,67.19,43
22-07-2014,92.19,59
23-07-2014,70.31,45
24-07-2014,95.31,61
25-07-2014,31.25,20
26-07-2014,34.38,22
27-07-2014,17.19,11
28-07-2014,48.44,31
29-07-2014,85.94,55
30-07-2014,85.94,55
31-07-2014,56.25,36
01-08-2014,29.69,19
02-08-2014,23.44,15
03-08-2014,18.75,12
04-08-2014,62.50,40
05-08-2014,71.88,46
06-08-2014,70.31,45
07-08-2014,64.06,41
08-08-2014,32.81,21
09-08-2014,57.81,37
10-08-2014,18.75,12
11-08-2014,68.75,44
12-08-2014,98.44,63
13-08-2014,98.44,63
14-08-2014,82.81,53
15-08-2014,71.88,46
16-08-2014,56.25,36
17-08-2014,15.63,10
18-08-2014,64.06,41
19-08-2014,89.06,57
20-08-2014,95.31,61
21-08-2014,51.56,33
22-08-2014,31.25,20
23-08-2014,28.13,18
24-08-2014,10.94,7
25-08-2014,65.63,42
26-08-2014,71.88,46
27-08-2014,100.00,64
28-08-2014,89.06,57
29-08-2014,31.25,20
30-08-2014,29.69,19
31-08-2014,10.94,7
01-09-2014,51.56,33
02-09-2014,56.25,36
03-09-2014,75.00,48
04-09-2014,53.13,34
05-09-2014,32.81,21
06-09-2014,32.81,21
07-09-2014,21.88,14
08-09-2014,53.13,34
09-09-2014,71.88,46
10-09-2014,96.88,62
11-09-2014,89.06,57
12-09-2014,89.06,57
13-09-2014,92.19,59
14-09-2014,37.50,24
15-09-2014,68.75,44
16-09-2014,84.38,54
17-09-2014,82.81,53
18-09-2014,78.13,50
19-09-2014,20.31,13
20-09-2014,20.31,13
21-09-2014,10.94,7
22-09-2014,51.56,33
23-09-2014,75.00,48
24-09-2014,92.19,59
25-09-2014,90.63,58
26-09-2014,26.56,17
27-09-2014,17.19,11
28-09-2014,6.25,4
29-09-2014,59.38,38
30-09-2014,67.19,43
01-10-2014,100.00,64
02-10-2014,64.06,41
03-10-2014,20.31,13
04-10-2014,10.94,7
05-10-2014,14.06,9
06-10-2014,57.81,37
07-10-2014,73.44,47
08-10-2014,75.00,48
09-10-2014,92.19,59
10-10-2014,93.75,60
11-10-2014,28.13,18
12-10-2014,20.31,13
13-10-2014,68.75,44
14-10-2014,100.00,64
15-10-2014,100.00,64
16-10-2014,100.00,64
17-10-2014,14.06,9
18-10-2014,32.81,21
19-10-2014,14.06,9
20-10-2014,45.31,29
21-10-2014,70.31,45
22-10-2014,89.06,57
23-10-2014,71.88,46
24-10-2014,34.38,22
25-10-2014,37.50,24
26-10-2014,17.19,11
27-10-2014,90.63,58
28-10-2014,100.00,64
29-10-2014,96.88,62
30-10-2014,70.31,45
31-10-2014,62.50,40
01-11-2014,46.88,30
02-11-2014,21.88,14
03-11-2014,56.25,36
04-11-2014,98.44,63
05-11-2014,71.88,46
06-11-2014,56.25,36
07-11-2014,34.38,22
08-11-2014,21.88,14
09-11-2014,12.50,8
10-11-2014,78.13,50
11-11-2014,76.56,49
12-11-2014,95.31,61
13-11-2014,67.19,43
14-11-2014,29.69,19
15-11-2014,51.56,33
16-11-2014,12.50,8
17-11-2014,54.69,35
18-11-2014,92.19,59
19-11-2014,85.94,55
